======== Warning: The profile is invalid or incomplete
======== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
     0ns  7.4170us                    -               -         -         -         -  4.0960KB  552.25MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
305.32ms  21.577ms                    -               -         -         -         -  37.749MB  1.7495GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
326.91ms  7.7500us                    -               -         -         -         -      512B  66.065MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
326.92ms  5.0830us                    -               -         -         -         -      512B  100.73MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
326.93ms  5.1660us                    -               -         -         -         -      512B  99.110MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
326.94ms  5.2500us                    -               -         -         -         -      512B  97.524MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
326.95ms  199.25us                    -               -         -         -         -  294.91KB  1.4801GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
327.15ms  7.4170us                    -               -         -         -         -  4.0960KB  552.25MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
327.17ms  7.4170us                    -               -         -         -         -  4.0960KB  552.25MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
327.18ms  7.4170us                    -               -         -         -         -  4.0960KB  552.25MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
327.19ms  7.4170us                    -               -         -         -         -  4.0960KB  552.25MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.87783s  73.867ms                    -               -         -         -         -  113.25MB  1.5331GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.95170s  8.4160us                    -               -         -         -         -  1.7000KB  202.00MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.98992s  1.7225ms                    -               -         -         -         -  1.7408MB  1.0106GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.99228s  11.000us                    -               -         -         -         -      256B  23.273MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.99369s  7.2500us                    -               -         -         -         -      256B  35.310MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.99512s  7.2500us                    -               -         -         -         -      256B  35.310MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.99622s  7.2500us                    -               -         -         -         -      256B  35.310MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.99739s  39.083us                    -               -         -         -         -  32.768KB  838.42MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.99844s  7.6660us                    -               -         -         -         -      512B  66.788MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
1.99949s  7.5830us                    -               -         -         -         -      512B  67.520MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.00054s  7.6660us                    -               -         -         -         -      512B  66.788MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.00157s  7.6670us                    -               -         -         -         -      512B  66.780MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.00338s  295.67us                    -               -         -         -         -  294.91KB  997.45MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.00383s  8.1660us                    -               -         -         -         -  1.0240KB  125.40MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.00409s  8.1670us                    -               -         -         -         -  1.0240KB  125.38MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.00434s  8.1670us                    -               -         -         -         -  1.0240KB  125.38MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.00460s  8.0830us                    -               -         -         -         -  1.0240KB  126.69MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.01280s  1.1643ms                    -               -         -         -         -  1.1797MB  1.0132GB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.01398s  10.834us                    -               -         -         -         -      512B  47.259MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
2.01446s  7.6660us                    -               -         -         -         -      512B  66.788MB/s        GK20A (0)         1        14  [CUDA memcpy HtoD]
